game_pk,at_bat_number,pitch_in_pa,batter,home_team,away_team,pitch_type,pitch_type_idx,stand,batter_hand_idx,prev_pitch_type,prev_pitch_idx,prev_prev_pitch_type,prev_pitch_result,prev_pitch_result_idx,balls,strikes,outs_when_up,inning,is_top_inning,on_1b_flag,on_2b_flag,on_3b_flag,score_diff_pov,pitcher_ahead_flag,hitter_ahead_flag,putaway_count_flag,platoon_adv,fastballs_in_pa,last_two_fastballs_flag,risp_flag,high_leverage_flag,prev_release_speed,prev_pfx_x,prev_pfx_z,prev_speed_minus_ff_mean
776185,46,3,664983,AZ,LAD,CU,0,L,0,FS,4,FC,foul,3,0,2,0,5,0,0,0,0,8,1,0,1,1,3,1,0,0,91.2,-1.16,-0.03,-4.2869966442953
776185,46,4,664983,AZ,LAD,CU,0,L,0,CU,1,FS,ball,1,1,2,0,5,0,0,0,0,8,1,0,1,1,3,0,0,0,74.7,0.93,-1.46,-20.7869966442953
776185,47,0,672695,AZ,LAD,FC,1,L,0,START,0,START,START,0,0,0,1,5,0,0,0,0,8,0,0,0,1,3,0,0,0,90.24199066874027,-0.30026827371695175,0.42487169517884915,-5.245005975555031
776185,48,0,606466,AZ,LAD,FF,2,L,0,START,0,START,START,0,0,0,2,5,0,0,0,0,8,0,0,0,1,1,0,0,0,90.24199066874027,-0.30026827371695175,0.42487169517884915,-5.245005975555031
776185,48,1,606466,AZ,LAD,FF,2,L,0,FF,3,START,swinging_strike,4,0,1,2,5,0,0,0,0,8,0,0,0,1,1,0,0,0,94.9,-0.42,1.43,-0.5869966442952972
776185,48,2,606466,AZ,LAD,FF,2,L,0,FF,3,FF,foul,3,0,2,2,5,0,0,0,0,8,1,0,1,1,2,1,0,0,95.4,-0.32,1.22,-0.08699664429529719
776185,48,3,606466,AZ,LAD,FS,3,L,0,FF,3,FF,ball,1,1,2,2,5,0,0,0,0,8,1,0,1,1,3,1,0,0,95.9,-0.66,1.34,0.4130033557047028
776185,48,4,606466,AZ,LAD,CU,0,L,0,FS,4,FF,ball,1,2,2,2,5,0,0,0,0,8,0,0,1,1,4,1,0,0,90.4,-0.6,-0.17,-5.086996644295297
776185,54,0,682998,AZ,LAD,FC,1,L,0,START,0,START,START,0,0,0,0,6,0,0,0,0,8,0,0,0,1,4,0,0,0,90.24199066874027,-0.30026827371695175,0.42487169517884915,-5.245005975555031
776185,54,1,682998,AZ,LAD,FC,1,L,0,FC,2,START,ball,1,1,0,0,6,0,0,0,0,8,0,0,0,1,1,0,0,0,89.6,0.26,0.68,-5.886996644295309
776185,54,2,682998,AZ,LAD,SL,5,L,0,FC,2,FC,called_strike,2,1,1,0,6,0,0,0,0,8,0,0,0,1,2,1,0,0,90.0,0.5,0.64,-5.486996644295303
776185,54,3,682998,AZ,LAD,FS,3,L,0,SL,6,FC,swinging_strike,4,1,2,0,6,0,0,0,0,8,1,0,1,1,2,0,0,0,84.9,0.49,-0.08,-10.586996644295297
776185,55,0,672515,AZ,LAD,FF,2,R,1,START,0,START,START,0,0,0,1,6,0,0,0,0,8,0,0,0,0,3,0,0,0,90.24199066874027,-0.30026827371695175,0.42487169517884915,-5.245005975555031
776185,55,1,672515,AZ,LAD,SL,5,R,1,FF,3,START,ball,1,1,0,1,6,0,0,0,0,8,0,0,0,0,1,0,0,0,95.3,-0.69,1.2,-0.18699664429530571
776185,55,2,672515,AZ,LAD,SI,4,R,1,SL,6,FF,called_strike,2,1,1,1,6,0,0,0,0,8,0,0,0,0,1,0,0,0,85.8,0.55,0.42,-9.686996644295306
776185,55,3,672515,AZ,LAD,SL,5,R,1,SI,5,SL,ball,1,2,1,1,6,0,0,0,0,8,0,1,0,0,2,0,0,0,95.4,-1.2,1.09,-0.08699664429529719
776185,55,4,672515,AZ,LAD,SI,4,R,1,SL,6,SI,swinging_strike,4,2,2,1,6,0,0,0,0,8,0,0,1,0,2,0,0,0,87.4,0.46,0.04,-8.086996644295297
776185,55,5,672515,AZ,LAD,SL,5,R,1,SI,5,SL,ball,1,3,2,1,6,0,0,0,0,8,0,1,1,0,3,0,0,0,96.1,-1.3,0.96,0.6130033557046914
776185,56,0,680728,AZ,LAD,FC,1,L,0,START,0,START,START,0,0,0,2,6,0,0,0,0,8,0,0,0,1,3,0,0,0,90.24199066874027,-0.30026827371695175,0.42487169517884915,-5.245005975555031
776185,57,0,677942,AZ,LAD,SI,4,R,1,START,0,START,START,0,0,0,2,6,0,1,0,0,8,0,0,0,0,1,0,0,0,90.24199066874027,-0.30026827371695175,0.42487169517884915,-5.245005975555031
776185,57,1,677942,AZ,LAD,FS,3,R,1,SI,5,START,swinging_strike,4,0,1,2,6,0,1,0,0,8,0,0,0,0,1,0,0,0,95.0,-1.2,1.0,-0.48699664429530287
776185,57,2,677942,AZ,LAD,FF,2,R,1,FS,4,SI,ball,1,1,1,2,6,0,1,0,0,8,0,0,0,0,2,1,0,0,89.9,-0.56,0.11,-5.586996644295297
776185,57,3,677942,AZ,LAD,FF,2,R,1,FF,3,FS,ball,1,2,1,2,6,0,1,0,0,8,0,1,0,0,3,1,0,0,96.3,-0.68,1.26,0.8130033557046943
776185,57,4,677942,AZ,LAD,SI,4,R,1,FF,3,FF,foul,3,2,2,2,6,0,1,0,0,8,0,0,1,0,4,1,0,0,95.5,-0.59,1.29,0.013003355704697128
776185,57,5,677942,AZ,LAD,SL,5,R,1,SI,5,FF,ball,1,3,2,2,6,0,1,0,0,8,0,1,1,0,5,1,0,0,94.8,-1.1,1.08,-0.6869966442953057
776271,1,0,671218,LAD,SF,FF,2,R,1,START,0,START,START,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,0,0,90.24199066874027,-0.30026827371695175,0.42487169517884915,-5.245005975555031
776271,1,1,671218,LAD,SF,FF,2,R,1,FF,3,START,called_strike,2,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,96.6,-0.11,1.17,1.1130033557046914
776271,1,2,671218,LAD,SF,FS,3,R,1,FF,3,FF,foul,3,0,2,0,1,1,0,0,0,0,1,0,1,0,2,1,0,0,96.7,-0.07,1.34,1.2130033557047
776271,1,3,671218,LAD,SF,FF,2,R,1,FS,4,FF,ball,1,1,2,0,1,1,0,0,0,0,1,0,1,0,3,1,0,0,90.9,-0.13,0.17,-4.586996644295297
776271,1,4,671218,LAD,SF,CU,0,R,1,FF,3,FS,ball,1,2,2,0,1,1,0,0,0,0,0,0,1,0,4,1,0,0,97.2,-0.18,1.03,1.7130033557047
776271,2,0,646240,LAD,SF,FF,2,L,0,START,0,START,START,0,0,0,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,90.24199066874027,-0.30026827371695175,0.42487169517884915,-5.245005975555031
776271,2,1,646240,LAD,SF,FF,2,L,0,FF,3,START,ball,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,97.4,-0.35,1.29,1.9130033557047028
776271,2,2,646240,LAD,SF,FF,2,L,0,FF,3,FF,called_strike,2,1,1,1,1,1,0,0,0,0,0,0,0,1,2,1,0,0,97.4,-0.5,1.41,1.9130033557047028
776271,3,0,642715,LAD,SF,FF,2,R,1,START,0,START,START,0,0,0,2,1,1,0,0,0,0,0,0,0,0,3,0,0,0,90.24199066874027,-0.30026827371695175,0.42487169517884915,-5.245005975555031
776271,3,1,642715,LAD,SF,SI,4,R,1,FF,3,START,ball,1,1,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,96.2,-0.29,1.19,0.7130033557047
776271,3,2,642715,LAD,SF,FC,1,R,1,SI,5,FF,ball,1,2,0,2,1,1,0,0,0,0,0,1,0,0,2,1,0,0,96.9,-1.28,0.81,1.4130033557047028
776271,3,3,642715,LAD,SF,SI,4,R,1,FC,2,SI,foul,3,2,1,2,1,1,0,0,0,0,0,1,0,0,3,1,0,0,92.3,0.27,0.52,-3.1869966442953057
776271,3,4,642715,LAD,SF,FF,2,R,1,SI,5,FC,ball,1,3,1,2,1,1,0,0,0,0,0,1,0,0,4,1,0,0,96.7,-1.24,0.74,1.2130033557047
776271,4,0,656305,LAD,SF,FF,2,R,1,START,0,START,START,0,0,0,2,1,1,1,0,0,0,0,0,0,0,5,0,0,0,90.24199066874027,-0.30026827371695175,0.42487169517884915,-5.245005975555031
776271,4,1,656305,LAD,SF,FS,3,R,1,FF,3,START,ball,1,1,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,95.8,-0.32,1.21,0.3130033557046943
776271,4,2,656305,LAD,SF,CU,0,R,1,FS,4,FF,ball,1,2,0,2,1,1,1,0,0,0,0,1,0,0,2,1,0,0,91.8,-0.82,0.38,-3.6869966442953057
776271,4,3,656305,LAD,SF,FF,2,R,1,CU,1,FS,ball,1,3,0,2,1,1,1,0,0,0,0,1,0,0,2,0,0,0,78.7,1.22,-1.38,-16.7869966442953
776271,5,0,805811,LAD,SF,CU,0,L,0,START,0,START,START,0,0,0,2,1,1,1,1,0,0,0,0,0,1,3,0,1,0,90.24199066874027,-0.30026827371695175,0.42487169517884915,-5.245005975555031
776271,5,1,805811,LAD,SF,FS,3,L,0,CU,1,START,called_strike,2,0,1,2,1,1,1,1,0,0,0,0,0,1,0,0,1,0,77.3,1.06,-1.32,-18.186996644295306
776271,5,2,805811,LAD,SF,CU,0,L,0,FS,4,CU,swinging_strike,4,0,2,2,1,1,1,1,0,0,1,0,1,1,1,0,1,0,91.8,-1.02,0.0,-3.6869966442953057
776271,5,3,805811,LAD,SF,FF,2,L,0,CU,1,FS,ball,1,1,2,2,1,1,1,1,0,0,1,0,1,1,1,0,1,0,78.1,1.17,-1.42,-17.38699664429531
776271,5,4,805811,LAD,SF,FS,3,L,0,FF,3,CU,foul,3,1,2,2,1,1,1,1,0,0,1,0,1,1,2,0,1,0,96.5,-0.52,1.32,1.0130033557046971
776271,5,5,805811,LAD,SF,FS,3,L,0,FS,4,FF,foul,3,1,2,2,1,1,1,1,0,0,1,0,1,1,3,1,1,0,92.4,-1.2,-0.08,-3.086996644295297
776271,5,6,805811,LAD,SF,FF,2,L,0,FS,4,FS,ball,1,2,2,2,1,1,1,1,0,0,0,0,1,1,4,1,1,0,90.4,-0.2,-0.08,-5.086996644295297
776271,5,7,805811,LAD,SF,CU,0,L,0,FF,3,FS,foul,3,2,2,2,1,1,1,1,0,0,0,0,1,1,5,1,1,0,96.7,-0.67,1.12,1.2130033557047
776271,10,0,669477,LAD,SF,FS,3,R,1,START,0,START,START,0,0,0,0,2,1,0,0,0,0,0,0,0,0,5,0,0,0,90.24199066874027,-0.30026827371695175,0.42487169517884915,-5.245005975555031
776271,10,1,669477,LAD,SF,SI,4,R,1,FS,4,START,ball,1,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,91.0,-0.53,1.43,-4.486996644295303
776271,10,2,669477,LAD,SF,FS,3,R,1,SI,5,FS,foul,3,1,1,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,93.5,-1.03,1.19,-1.9869966442953029
776271,10,3,669477,LAD,SF,FC,1,R,1,FS,4,SI,ball,1,2,1,0,2,1,0,0,0,0,0,1,0,0,3,1,0,0,90.8,-1.04,-0.21,-4.686996644295306
776271,10,4,669477,LAD,SF,CU,0,R,1,FC,2,FS,foul,3,2,2,0,2,1,0,0,0,0,0,0,1,0,4,1,0,0,91.6,0.33,0.6,-3.8869966442953086
776271,10,5,669477,LAD,SF,CU,0,R,1,CU,1,FC,foul,3,2,2,0,2,1,0,0,0,0,0,0,1,0,4,0,0,0,77.2,0.98,-1.43,-18.2869966442953
776271,10,6,669477,LAD,SF,FF,2,R,1,CU,1,CU,foul,3,2,2,0,2,1,0,0,0,0,0,0,1,0,4,0,0,0,78.5,0.8,-1.21,-16.986996644295303
776271,10,7,669477,LAD,SF,SI,4,R,1,FF,3,CU,ball,1,3,2,0,2,1,0,0,0,0,0,1,1,0,5,0,0,0,96.2,-0.67,1.35,0.7130033557047
776271,11,0,808982,LAD,SF,FF,2,L,0,START,0,START,START,0,0,0,1,2,1,0,0,0,0,0,0,0,1,6,0,0,0,90.24199066874027,-0.30026827371695175,0.42487169517884915,-5.245005975555031
776271,11,1,808982,LAD,SF,FF,2,L,0,FF,3,START,ball,1,1,0,1,2,1,0,0,0,0,0,0,0,1,1,0,0,0,94.0,-0.45,1.42,-1.4869966442953029
776271,11,2,808982,LAD,SF,FC,1,L,0,FF,3,FF,called_strike,2,1,1,1,2,1,0,0,0,0,0,0,0,1,2,1,0,0,94.9,-0.66,1.33,-0.5869966442952972
