batter_name,batter_id,AVG_FF,AVG_FS,AVG_CU,AVG_FC,AVG_SI,AVG_SL,OBP_FF,OBP_FS,OBP_CU,OBP_FC,OBP_SI,OBP_SL,SLG_FF,SLG_FS,SLG_CU,SLG_FC,SLG_SI,SLG_SL
Shea Langeliers,669127,0.24647887323943662,0.3333333333333333,0.17857142857142858,0.3939393939393939,0.34782608695652173,0.2261904761904762,0.3270440251572327,0.4,0.1724137931034483,0.3888888888888889,0.3939393939393939,0.27956989247311825,0.5633802816901409,0.7777777777777778,0.2857142857142857,0.7878787878787878,0.6847826086956522,0.47619047619047616
Sean Murphy,669221,0.18666666666666668,0.125,0.14285714285714285,0.13636363636363635,0.3,0.17391304347826086,0.3404255319148936,0.125,0.21739130434782608,0.2,0.4246575342465753,0.22448979591836735,0.38666666666666666,0.125,0.23809523809523808,0.4090909090909091,0.45,0.45652173913043476
Austin Wells,669224,0.25190839694656486,0.125,0.25,0.2727272727272727,0.35384615384615387,0.12857142857142856,0.30666666666666664,0.16,0.3,0.36585365853658536,0.4084507042253521,0.20512820512820512,0.5572519083969466,0.2916666666666667,0.39285714285714285,0.5454545454545454,0.6153846153846154,0.32857142857142857
Jeremiah Jackson,669236,0.225,0.0,0.45454545454545453,0.35714285714285715,0.24242424242424243,0.34375,0.3404255319148936,0.25,0.45454545454545453,0.4,0.2857142857142857,0.36363636363636365,0.4,0.0,0.5454545454545454,0.6428571428571429,0.36363636363636365,0.5625
Bryce Teodosio,669326,0.19642857142857142,0.0,0.42857142857142855,0.08333333333333333,0.3333333333333333,0.19230769230769232,0.23333333333333334,0.0,0.4444444444444444,0.08333333333333333,0.47368421052631576,0.19230769230769232,0.30357142857142855,0.0,0.5714285714285714,0.25,0.4666666666666667,0.3076923076923077
Nolan Gorman,669357,0.21212121212121213,0.1875,0.25925925925925924,0.19230769230769232,0.3333333333333333,0.15873015873015872,0.3181818181818182,0.1875,0.2857142857142857,0.23333333333333334,0.45,0.2318840579710145,0.3787878787878788,0.1875,0.4074074074074074,0.38461538461538464,0.6666666666666666,0.3492063492063492
Bryce Johnson,669369,0.15384615384615385,0.5,0.2727272727272727,0.2,0.5,0.36363636363636365,0.15384615384615385,0.5,0.2727272727272727,0.42857142857142855,0.55,0.38461538461538464,0.15384615384615385,0.5,0.2727272727272727,0.4,0.6111111111111112,0.45454545454545453
Jake Burger,669394,0.16666666666666666,0.21428571428571427,0.23809523809523808,0.36,0.2558139534883721,0.20833333333333334,0.20224719101123595,0.21428571428571427,0.23809523809523808,0.4482758620689655,0.3191489361702128,0.24,0.36904761904761907,0.35714285714285715,0.2857142857142857,0.72,0.43023255813953487,0.3055555555555556
Nick Allen,669397,0.24528301886792453,0.14285714285714285,0.07407407407407407,0.2916666666666667,0.23711340206185566,0.22807017543859648,0.34146341463414637,0.14285714285714285,0.07142857142857142,0.34615384615384615,0.32727272727272727,0.26666666666666666,0.2641509433962264,0.2857142857142857,0.1111111111111111,0.3333333333333333,0.27835051546391754,0.24561403508771928
Casey Schmitt,669477,0.26262626262626265,0.18181818181818182,0.24,0.29411764705882354,0.34615384615384615,0.14035087719298245,0.32727272727272727,0.18181818181818182,0.32142857142857145,0.3684210526315789,0.4098360655737705,0.21875,0.5050505050505051,0.45454545454545453,0.44,0.4117647058823529,0.4423076923076923,0.24561403508771928
Austin Hays,669720,0.31958762886597936,0.16666666666666666,0.19230769230769232,0.21428571428571427,0.33783783783783783,0.225,0.37383177570093457,0.16666666666666666,0.23333333333333334,0.28125,0.36363636363636365,0.2967032967032967,0.6907216494845361,0.25,0.3076923076923077,0.35714285714285715,0.5945945945945946,0.3625
Michael Toglia,669911,0.16666666666666666,0.0,0.1724137931034483,0.44,0.3181818181818182,0.15789473684210525,0.2214765100671141,0.06666666666666667,0.2,0.5172413793103449,0.42857142857142855,0.23809523809523808,0.2318840579710145,0.0,0.41379310344827586,0.96,0.6363636363636364,0.5
Matt Wallner,670242,0.19718309859154928,0.05263157894736842,0.16129032258064516,0.4,0.09523809523809523,0.2702702702702703,0.29878048780487804,0.21739130434782608,0.2571428571428571,0.5,0.2692307692307692,0.4,0.43661971830985913,0.21052631578947367,0.3548387096774194,0.84,0.2857142857142857,0.8108108108108109
Taylor Walls,670764,0.18867924528301888,0.3157894736842105,0.3076923076923077,0.23333333333333334,0.23404255319148937,0.23076923076923078,0.2413793103448276,0.3157894736842105,0.4,0.2857142857142857,0.32727272727272727,0.3225806451612903,0.25471698113207547,0.5263157894736842,0.6153846153846154,0.3333333333333333,0.3191489361702128,0.3076923076923077
TJ Friedl,670770,0.27927927927927926,0.14814814814814814,0.175,0.22857142857142856,0.2982456140350877,0.30985915492957744,0.4052044609665427,0.17857142857142858,0.30612244897959184,0.37777777777777777,0.4,0.39285714285714285,0.38738738738738737,0.18518518518518517,0.45,0.45714285714285713,0.37719298245614036,0.4788732394366197
Ivan Herrera,671056,0.25196850393700787,0.3,0.3333333333333333,0.4090909090909091,0.34444444444444444,0.25757575757575757,0.36,0.3333333333333333,0.3902439024390244,0.5185185185185185,0.42718446601941745,0.35526315789473684,0.4251968503937008,0.6,0.4444444444444444,0.8636363636363636,0.4888888888888889,0.5
Heliot Ramos,671218,0.25146198830409355,0.0,0.28846153846153844,0.23076923076923078,0.34210526315789475,0.20967741935483872,0.355,0.3076923076923077,0.3148148148148148,0.2857142857142857,0.44525547445255476,0.24242424242424243,0.391812865497076,0.0,0.4230769230769231,0.4358974358974359,0.4649122807017544,0.29838709677419356
Tyler Freeman,671289,0.33076923076923076,0.14285714285714285,0.3333333333333333,0.21739130434782608,0.29,0.16666666666666666,0.41830065359477125,0.14285714285714285,0.3684210526315789,0.35714285714285715,0.37168141592920356,0.22784810126582278,0.4,0.2857142857142857,0.5555555555555556,0.2608695652173913,0.38,0.2222222222222222
